"help_topic"	"aliases"	"title"	"description"
"Factor"	""	"create for factor()"	"create for factor()"
"QRn_plot"	""	"把Qn和Rn花到一起"	"把Qn和Rn花到一起"
"Qnplot"	""	"crude.Model.n结果Qn的可视化"	"crude.Model.n结果Qn的可视化"
"RCS"	""	"RCS"	"RCS"
"Recode"	""	"Recode numeric and character"	"Recode numeric and character"
"Recode2"	""	"Recode numeric and character"	"Recode numeric and character"
"Rnplot"	""	"探索性rcs"	"探索性rcs"
"add_day"	""	"修改时间"	"修改时间"
"add_hour"	""	"修改时间"	"修改时间"
"add_minute"	""	"修改时间"	"修改时间"
"add_month"	""	"修改时间"	"修改时间"
"add_row_number"	""	"add row number"	"add row number"
"add_second"	""	"修改时间"	"修改时间"
"add_variable"	""	"向模型中追加变量"	"向模型中追加变量"
"add_week"	""	"修改时间"	"修改时间"
"add_year"	""	"修改时间"	"修改时间"
"arrange2"	""	"arrange and check dup"	"arrange and check dup"
"character2numeric"	""	"convert character to integer"	"convert character to integer"
"col.counts"	""	"col count"	"col count"
"col.max"	""	"max value in col"	"max value in col"
"col.means"	""	"col mean"	"col mean"
"col.sums"	""	"col sum"	"col sum"
"config_path"	""	"config path for mimic database"	"config path for mimic database"
"crude.Model.n"	""	"crude model, model 1, model 2"	"crude model, model 1, model 2"
"d1_BMI_icu"	""	"d1_BMI_icu"	"d1_BMI_icu"
"d1_Braden_icu"	""	"d1_Braden_icu"	"详细的评分描述参考这篇PMID: 38071493, 在附录中有一个表格"
"d1_GCS_icu"	""	"入住icu第一天的GCS评分"	"入住icu第一天的GCS评分"
"d1_TyG_icu"	""	"d1_TyG_icu"	"参考文献pmid: 19067533"
"d1_VitalSign_icu"	""	"住入icu第一天的生命体征"	"住入icu第一天的生命体征"
"d1_acei.pre_hadm"	""	"acei.pre（入院第1天开始使用）"	"acei.pre（入院第1天开始使用）"
"d1_acei.pre_hadm.t"	""	"acei（入院第1天开始使用）"	"acei（入院第1天开始使用）"
"d1_antibiotic.pre_hadm"	""	"antibiotic.pre（入院第1天开始使用）"	"antibiotic.pre（入院第1天开始使用）"
"d1_antibiotic.pre_hadm.t"	""	"抗生素（入院第1天开始使用）"	"抗生素（入院第1天开始使用）"
"d1_antifungal.pre_hadm"	""	"antifungal（入院第1天开始使用）"	"antifungal（入院第1天开始使用）"
"d1_antifungal.pre_hadm.t"	""	"antifungal（入院第1天开始使用）"	"antifungal（入院第1天开始使用）"
"d1_aps3_icu"	""	"d1_aps3_icu"	"d1_aps3_icu"
"d1_arb.pre_hadm.t"	""	"arb（入院第1天开始使用）"	"arb（入院第1天开始使用）"
"d1_blood.differential_icu"	""	"d1_blood.differential_icu"	"d1_blood.differential_icu"
"d1_blood.gas.ART_icu"	""	"入住icu第一天的动脉血气分析"	"入住icu第一天的动脉血气分析"
"d1_blood.gas_icu"	""	"入住icu第一天的血气分析"	"入住icu第一天的血气分析"
"d1_blood.lipid_icu"	""	"d1_blood.lipid_icu"	"d1_blood.lipid_icu"
"d1_chemistry_icu"	""	"d1_chemistry_icu"	"d1_chemistry_icu"
"d1_coagulation_icu"	""	"d1_coagulation_icu"	"d1_coagulation_icu"
"d1_complete.blood.count_icu"	""	"d1_complete.blood.count_icu"	"d1_complete.blood.count_icu"
"d1_dobutamine.input_icu.t"	""	"多巴酚丁胺（入院第1天开始使用）"	"多巴酚丁胺（入院第1天开始使用）"
